date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:24:42	81528/81528	---M-Z	200	added ('OK')	text/html	etag:%2213e78-5985a5b3d01b7-gzip%22	http://unicoderbd.com/theme/html/homex/index-1.html	D:/Study/EASY-PG%20Design/EASY-PG/unicoderbd.com/theme/html/homex/index-1.html	(from )
16:24:42	0/0	---M--	200	added ('OK')	text/plain	date:Sun,%2029%20Dec%202019%2010:54:39%20GMT	http://unicoderbd.com/robots.txt		(from )
16:24:43	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%2210be-5985a5d22df25%22	http://unicoderbd.com/theme/html/homex/images/favicon.ico	D:/Study/EASY-PG%20Design/EASY-PG/unicoderbd.com/theme/html/homex/images/favicon.ico	(from http://unicoderbd.com/theme/html/homex/index-1.html)
16:24:43	10368/10368	---M--	200	added ('OK')	text/css	etag:%222880-5985a5c95e5be%22	http://unicoderbd.com/theme/html/homex/css/bootstrap-slider.css	D:/Study/EASY-PG%20Design/EASY-PG/unicoderbd.com/theme/html/homex/css/bootstrap-slider.css	(from http://unicoderbd.com/theme/html/homex/index-1.html)
16:24:46	35211/35211	---M--	200	added ('OK')	text/css	etag:%22898b-5985a5cb72928%22	http://unicoderbd.com/theme/html/homex/css/jquery-ui.css	D:/Study/EASY-PG%20Design/EASY-PG/unicoderbd.com/theme/html/homex/css/jquery-ui.css	(from http://unicoderbd.com/theme/html/homex/index-1.html)
16:24:46	155758/155758	---M--	200	added ('OK')	text/css	etag:%222606e-5985a5c9c8cc8%22	http://unicoderbd.com/theme/html/homex/css/bootstrap.min.css	D:/Study/EASY-PG%20Design/EASY-PG/unicoderbd.com/theme/html/homex/css/bootstrap.min.css	(from http://unicoderbd.com/theme/html/homex/index-1.html)
16:24:47	22597/22597	---M--	200	added ('OK')	text/css	etag:%225845-5985a5cc346ac%22	http://unicoderbd.com/theme/html/homex/css/layerslider.css	D:/Study/EASY-PG%20Design/EASY-PG/unicoderbd.com/theme/html/homex/css/layerslider.css	(from http://unicoderbd.com/theme/html/homex/index-1.html)
16:24:47	1430/1430	---M--	200	added ('OK')	text/css	etag:%22596-5985a5ca87790%22	http://unicoderbd.com/theme/html/homex/css/color.css	D:/Study/EASY-PG%20Design/EASY-PG/unicoderbd.com/theme/html/homex/css/color.css	(from http://unicoderbd.com/theme/html/homex/index-1.html)
16:24:48	3351/3351	---M--	200	added ('OK')	text/css	etag:%22d17-5985a5cc29ebc%22	http://unicoderbd.com/theme/html/homex/css/owl.carousel.min.css	D:/Study/EASY-PG%20Design/EASY-PG/unicoderbd.com/theme/html/homex/css/owl.carousel.min.css	(from http://unicoderbd.com/theme/html/homex/index-1.html)
16:24:48	3739/3739	---M--	200	added ('OK')	text/css	etag:%22e9b-5985a600b18b2%22	http://unicoderbd.com/theme/html/homex/fonts/flaticon/flaticon.css	D:/Study/EASY-PG%20Design/EASY-PG/unicoderbd.com/theme/html/homex/fonts/flaticon/flaticon.css	(from http://unicoderbd.com/theme/html/homex/index-1.html)
